Refinery,Refinery Lat,Refinery Lng
Atmore Refinery ,31.1810325,-87.43946110000002
Saraland Refinery ,30.807599,-88.064032
Tuscaloosa Refinery ,33.1971268,-87.6049456
Kenai Refinery ,60.6865684,-151.3695127
North Pole Refinery ,64.7333483,-147.3435
Prudhoe Bay Refinery ,70.41049579999999,-148.9721164
Valdez Refinery ,61.0829366,-146.2479664
Smackover Refinery ,33.3640458,-92.714013
Bakersfield Refinery ,35.3953453,-119.0472571
Benicia Refinery ,38.0741298,-122.1447467
Carson Refinery ,33.8228302,-118.2430538
El Segundo Refinery ,33.916202,-118.4173021
Golden Eagle Refinery ,38.023901,-122.0634706
Long Beach Refinery ,33.77359,-118.2134246
Los Angeles Refinery ,33.806137,-118.2464089
Martinez Refinery ,38.0228881,-122.1247482
Paramount Refinery ,33.8966906,-118.1443259
Richmond Refinery ,37.9320914,-122.3911435
San Francisco Refinery ,38.0458967,-122.2586438
Santa Maria Refinery ,35.038992,-120.5897141
South Gate Refinery ,33.945251,-118.16547
Torrance Refinery ,33.8533018,-118.3359197
Wilmington Asphalt Refinery ,34.18291300000001,-77.947738
Wilmington Refinery ,33.7772596,-118.231299
"Commerce City Refinery ,",39.795546,-104.956524
Delaware City Refinery ,39.5884694,-75.6435809
Savannah Refinery ,32.0587034,-81.13295389999999
Kapolei Refinery ,21.3052387,-158.0951272
Lemont Refinery ,41.6418435,-88.0504478
Joliet Refinery ,41.4128647,-88.1908856
Robinson Refinery ,39.0032969,-87.726154
Wood River Refinery ,38.8373137,-90.0733856
Whiting Refinery ,41.6624675,-87.4832311
Mount Vernon Refinery ,37.94182199999999,-87.9099509
Coffeyville Refinery ,37.0447877,-95.6028845
McPherson Refinery ,38.3465822,-97.6670402
Catlettsburg Refinery ,38.3735968,-82.59934179999999
Somerset Refinery ,37.0693033,-84.6127233
Alliance Refinery ,29.6800289,-89.9773847
Baton Rouge Refinery ,30.4860721,-91.1697231
Chalmette Refinery ,29.9377997,-89.9710298
Convent Refinery ,30.1080661,-90.8930106
Cotton Valley Refinery ,32.7973978,-93.41480580000001
Garyville Refinery ,30.065417,-90.5952358
Krotz Springs Refinery ,30.5274372,-91.7460708
Lake Charles Refinery ,30.1345326,-93.31824449999999
"Lake Charles Refinery,",30.1345326,-93.31824449999999
Meraux Refinery ,29.9300125,-89.94372589999999
"Norco Refinery ,",29.9958918,-90.4095445
Port Allen Refinery ,30.476694,-91.210876
Princeton Refinery ,32.590209,-93.5137252
Shreveport Refinery ,32.501895,-93.74475699999999
St. Charles Refinery ,29.9863603,-90.3924576
Marathon Detroit Refinery ,42.2891644,-83.1545671
Pine Bend Refinery ,44.76350920000001,-93.0405948
St. Paul Park Refinery ,44.85280100000001,-92.99727899999999
Pascagoula Refinery ,30.3440132,-88.4931477
Vicksburg Refinery ,32.3882025,-90.90840969999999
Billings Refinery ,45.8094069,-108.4320478
Calumet Montana Refining ,47.5238418,-111.2905655
Laurel Refinery ,45.6588295,-108.7694499
Eagle Springs Refinery ,38.6226732,-115.6198473
Bayway Refinery ,40.6400688,-74.2191707
Eagle Point Refinery ,39.8618159,-75.1524859
Paulsboro Asphalt Refinery ,39.84148920000001,-75.227544
Paulsboro Refinery ,39.8363695,-75.2509316
Perth Amboy Refinery ,40.5344974,-74.26047559999999
Port Reading Refinery ,40.5588607,-74.2399444
Navajo Refinery ,32.8447877,-104.3925028
Ciniza Refinery ,35.4869223,-108.4275321
Mandan Refinery ,46.85422759999999,-100.886846
Dakota Prairie Refinery ,46.8550921,-102.9100316
Canton Refinery ,40.7750762,-81.41311
Toledo Refinery ,41.6289966,-83.50501969999999
Toledo Refinery  ,41.6289966,-83.50501969999999
Ardmore Refinery ,34.204122,-97.11016690000001
Ponca City Refinery ,36.6759973,-97.0758403
Tulsa Refinery East & West ,36.1224462,-96.0001597
Wynnewood Refinery ,34.6348751,-97.16813069999999
Bradford Refinery ,41.9662696,-78.6284261
Marcus Hook Refinery ,39.8120162,-75.4145805
Philadelphia Refinery ,39.9167478,-75.2017255
Trainer Refinery ,39.8229984,-75.40870120000001
Warren Refinery ,41.82923359999999,-79.1245636
Memphis Refinery ,35.0865543,-90.079549
Baytown Refinery ,29.7453125,-95.0028631
Big Spring Refinery ,32.267009,-101.4204937
Beaumont Refinery ,30.064797,-94.07870820000001
Borger Refinery ,35.6899051,-101.3632993
Corpus Christi Complex ,27.7057442,-97.43125979999999
Corpus Christi Refinery ,27.8071928,-97.44650209999999
Corpus Christi East & West Refinery ,27.8415356,-97.52126969999999
Deer Park Refinery ,29.7137233,-95.1257897
El Paso Refinery ,31.7700959,-106.4130376
Houston Refinery ,29.7097329,-95.2361292
McKee Refinery ,35.9513091,-101.8777097
Pasadena Refinery ,29.7191315,-95.2105168
"Port Arthur Refinery ,",29.8885998,-93.95101030000001
Port Arthur Refinery ,29.8885998,-93.95101030000001
San Antonio Refinery ,29.3451271,-98.443428
Sweeny Refinery ,29.0739499,-95.74887910000001
Texas City Refinery ,29.3688933,-94.9133607
Sullivan Three Rivers Refinery ,28.4612537,-98.1855095
Tyler Refinery ,32.3564188,-95.27977299999999
North Salt Lake Refinery ,40.8297902,-111.9356153
Salt Lake City Refinery ,40.7891907,-111.9037248
Woods Cross Refinery ,40.8836951,-111.9078252
Shell Anacortes Refinery ,48.4656865,-122.5599202
Marathon Anacortes Refinery ,48.4963294,-122.5667318
Cherry Point Refinery ,48.8910174,-122.72935
Ferndale Refinery ,48.8327413,-122.6926866
Tacoma Refinery ,47.2568949,-122.3949222
Newell Refinery ,40.6119148,-80.6286315
Superior Refinery ,46.6898894,-92.068304
Cheyenne Refinery ,41.1273486,-104.7904729
Evanston Refinery ,41.9897673,-87.7314186
Newcastle Refinery ,43.8503656,-104.2138862
Sinclair Wyoming Refinery ,41.7818457,-107.1087498
Sinclair Casper Refinery ,42.8562986,-106.2437619
