List of oil refineries in the US,
Atmore Refinery (Goodway Refining LLC),Alabama
Saraland Refinery (Shell Chemicals by Royal Dutch Shell),Alabama
Tuscaloosa Refinery (Hunt Refining Company),Alabama
Kenai Refinery (Marathon Petroleum Company),Alaska
North Pole Refinery (Petro Star by Arctic Slope Regional Corporation),Alaska
North Pole Refinery (Flint Hills Resources LP by Koch Industries),Alaska
Prudhoe Bay Refinery (BP Exploration Alaska Inc by BP),Alaska
Prudhoe Bay Refinery (ConocoPhillips Alaska by ConocoPhillips),Alaska
Valdez Refinery (Petro Star by Arctic Slope Regional Corporation),Alaska
El Dorado Refinery (Delek),Arkansas
Smackover Refinery (Cross Oil Refining & Marketing Inc by Martin Midstream Partners LP),Arkansas
Bakersfield Refinery (Delek),California
Bakersfield Refinery (Kern Oil & Refining Co),California
Bakersfield Refinery (San Joaquin Refining Co),California
Benicia Refinery (Valero),California
Carson Refinery (Tesoro),California
El Segundo Refinery (Chevron),California
Golden Eagle Refinery (Tesoro),California
Long Beach Refinery (Delek),California
Los Angeles Refinery (Phillips 66),California
Los Angeles Refinery (Marathon Petroleum Company),California
Martinez Refinery (PBF Energy),California
"Paramount Refinery (Paramount Petroleum, subsidiary of Alon USA)",California
Richmond Refinery (Chevron),California
San Francisco Refinery (Phillips 66),California
Santa Maria Refinery (Greka Energy),California
"South Gate Refinery (Lunday Thagard Co, subsidiary of World Oil Corp)",California
Torrance Refinery (PBF Energy),California
Wilmington Asphalt Refinery (Valero),California
Wilmington Refinery (Valero),California
"Commerce City Refinery (Suncor Energy),",Colorado
Delaware City Refinery (Delaware City Refining Co LLC by PBF Energy),Delaware
Savannah Refinery (Nustar Asphalt Refining LLC by NuStar Energy),Georgia
"Kapolei Refinery (Par Hawaii Refining, LLC a subsidiary of Par Pacific Holdings)",Hawaii
Lemont Refinery (Citgo),Illinois
Joliet Refinery (ExxonMobil),Illinois
Robinson Refinery (Marathon Petroleum Company),Illinois
Wood River Refinery (WRB Refining LP),Illinois
Whiting Refinery (BP Products Inc by BP),Indiana
Mount Vernon Refinery (Countrymark Co-op),Indiana
Coffeyville Refinery (Coffeyville Resources by CVR Energy),Kansas
El Dorado Refinery (HollyFrontier),Kansas
McPherson Refinery (CHS Inc.),Kansas
Catlettsburg Refinery (Marathon Petroleum Company),Kentucky
Somerset Refinery (Continental Refining Company),Kentucky
Alliance Refinery (Phillips 66),Louisiana
Baton Rouge Refinery (ExxonMobil),Louisiana
Chalmette Refinery (PBF Energy),Louisiana
Convent Refinery (Shell Oil Company),Louisiana
Cotton Valley Refinery (Calumet Specialty Products Partners),Louisiana
Garyville Refinery (Marathon Petroleum Company),Louisiana
Krotz Springs Refinery (Delek),Louisiana
Lake Charles Refinery (Calcasieu Refining),Louisiana
Lake Charles Refinery (Citgo),Louisiana
"Lake Charles Refinery,(Pelican Refining)",Louisiana
Lake Charles Refinery (Phillips 66),Louisiana
Meraux Refinery (Valero),Louisiana
"Norco Refinery (Shell Oil Company),",Louisiana
Port Allen Refinery (Placid Refining),Louisiana
Princeton Refinery (Calumet Specialty Products Partners),Louisiana
Shreveport Refinery (Calumet Specialty Products Partners),Louisiana
St. Charles Refinery (Valero),Louisiana
St. Rose Refinery (Shell Oil Company),Louisiana
Marathon Detroit Refinery (Marathon Petroleum Company),Michigan
Pine Bend Refinery (Flint Hills Resources by Koch Industries),Minnesota
St. Paul Park Refinery (Marathon Petroleum Company),Minnesota
Pascagoula Refinery (Chevron),Mississippi
Vicksburg Refinery (Ergon),Mississippi
Rogerslacy Refinery (Hunt Southland Refining),Mississippi
Greenville Refinery (Scott Petroleum),Mississippi
Billings Refinery (Phillips 66),Montana
Billings Refinery (ExxonMobil),Montana
Calumet Montana Refining (Calumet Specialty Products Partners),Montana
Laurel Refinery (CHS Inc.),Montana
Eagle Springs Refinery (Foreland Refining),Nevada
Bayway Refinery (Phillips 66),New Jersey
Eagle Point Refinery (Sunoco),New Jersey
Paulsboro Asphalt Refinery (Axeon),New Jersey
Paulsboro Refinery (PBF Energy),New Jersey
Perth Amboy Refinery (Chevron),New Jersey
Port Reading Refinery (Hess),New Jersey
Navajo Refinery (HollyFrontier),New Mexico
Bloomfield Refinery (Western Refining),New Mexico
Ciniza Refinery (Marathon Petroleum Company),New Mexico
Mandan Refinery (Marathon Petroleum),North Dakota
Dakota Prairie Refinery (Marathon Petroleum Company),North Dakota
Canton Refinery (Marathon Petroleum),Ohio
Lima Refinery (Husky Energy),Ohio
Toledo Refinery (BP/Husky Energy),Ohio
Toledo Refinery (PBF) (PBF Energy) ,Ohio
Ardmore Refinery (Valero),Oklahoma
Ponca City Refinery (Phillips 66),Oklahoma
Tulsa Refinery East & West (HollyFrontier),Oklahoma
Wynnewood Refinery (Wynnewood Refining by CVR Energy),Oklahoma
Bradford Refinery (American Refining Group),Pennsylvania
Marcus Hook Refinery (Sunoco),Pennsylvania
Philadelphia Refinery (Philadelphia Energy Solutions by Carlyle Group),Pennsylvania
Trainer Refinery (Monroe Energy by Delta Air Lines),Pennsylvania
Warren Refinery (United Refining Company),Pennsylvania
Wamsutta Oil Refinery (historical),Pennsylvania
Memphis Refinery (Valero),Tennessee
Baytown Refinery (ExxonMobil),Texas
Big Spring Refinery (Delek),Texas
Beaumont Refinery (ExxonMobil),Texas
Borger Refinery (WRB Refining LP by Phillips 66/Cenovus),Texas
Corpus Christi Complex (Flint Hills Resources),Texas
Corpus Christi Refinery (Citgo),Texas
Corpus Christi East & West Refinery (Valero),Texas
Deer Park Refinery (Shell Oil / PEMEX),Texas
El Paso Refinery (Marathon Petroleum),Texas
Houston Refinery (LyondellBasell),Texas
Houston Refinery (Valero),Texas
Independent Refinery (Stratnor),Texas
McKee Refinery (Valero),Texas
Nixon Refinery (Blue Dolphin Energy Company),Texas
Pasadena Refinery (Chevron),Texas
"Port Arthur Refinery (Total S.A.),",Texas
Port Arthur Refinery (Motiva Enterprises),Texas
Port Arthur Refinery (Valero),Texas
San Antonio Refinery (Calumet Specialty Products Partners),Texas
Sweeny Refinery (Phillips 66),Texas
Texas City Refinery (Valero),Texas
Sullivan Three Rivers Refinery (Valero),Texas
Tyler Refinery (Delek),Texas
"North Salt Lake Refinery (Big West Oil, a subsidiary of FJ Management)",Utah
Salt Lake City Refinery (Chevron),Utah
Salt Lake City Refinery (Marathon Petroleum),Utah
Woods Cross Refinery (HollyFrontier),Utah
Woods Cross Refinery (Silver Eagle Refining),Utah
Shell Anacortes Refinery (Shell Oil),Washington
Marathon Anacortes Refinery (Marathon Petroleum),Washington
Cherry Point Refinery (BP),Washington
Ferndale Refinery (Phillips 66),Washington
Tacoma Refinery (Par Pacific Holdings),Washington
Newell Refinery (Ergon),West Virginia
Superior Refinery (Husky Energy),Wisconsin
Cheyenne Refinery (HollyFrontier),Wyoming
Douglas Refinery (Genesis Energy),Wyoming
Evanston Refinery (Silver Eagle Refining),Wyoming
"Newcastle Refinery (Wyoming Refining Company, LLC a subsidiary of Par Pacific Holdings)",Wyoming
Sinclair Wyoming Refinery (Sinclair Oil),Wyoming
Sinclair Casper Refinery (Sinclair Oil),Wyoming
St Croix Refinery (HOVENSA),US Virgin Islands